!! n150w40.004    39.30 953


CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME


    0      28.00      24.00       0.00       0.00     992.00       0.00
    1      44.00      13.00       0.00     390.00     436.00       0.00
    2       5.00       2.00       0.00     874.00     914.00       0.00
    3       9.00      37.00       0.00     205.00     246.00       0.00
    4      49.00      44.00       0.00     678.00     690.00       0.00
    5      42.00      18.00       0.00     317.00     384.00       0.00
    6      36.00       1.00       0.00     357.00     396.00       0.00
    7      47.00      17.00       0.00     417.00     449.00       0.00
    8      27.00       3.00       0.00      49.00      72.00       0.00
    9      12.00      44.00       0.00     228.00     278.00       0.00
   10      36.00      30.00       0.00      85.00     120.00       0.00
   11       6.00      19.00       0.00     182.00     193.00       0.00
   12       9.00      12.00       0.00     482.00     522.00       0.00
   13      41.00      35.00       0.00     309.00     327.00       0.00
   14      32.00      39.00       0.00     108.00     135.00       0.00
   15      27.00      44.00       0.00     570.00     626.00       0.00
   16      12.00      13.00       0.00     448.00     515.00       0.00
   17      26.00      41.00       0.00     594.00     633.00       0.00
   18       8.00      36.00       0.00     547.00     576.00       0.00
   19      29.00      19.00       0.00       0.00      42.00       0.00
   20      21.00       8.00       0.00     447.00     496.00       0.00
   21      15.00      13.00       0.00     477.00     486.00       0.00
   22      16.00      35.00       0.00     521.00     560.00       0.00
   23      27.00      27.00       0.00     607.00     646.00       0.00
   24       2.00      22.00       0.00     162.00     222.00       0.00
   25       4.00      32.00       0.00     174.00     206.00       0.00
   26       0.00      42.00       0.00     209.00     247.00       0.00
   27      18.00      46.00       0.00     236.00     274.00       0.00
   28      39.00      16.00       0.00     329.00     376.00       0.00
   29       7.00      40.00       0.00     204.00     261.00       0.00
   30      39.00      39.00       0.00     285.00     332.00       0.00
   31      37.00      17.00       0.00     352.00     367.00       0.00
   32      38.00      41.00       0.00     577.00     617.00       0.00
   33       1.00      12.00       0.00     500.00     537.00       0.00
   34      12.00      11.00       0.00     748.00     787.00       0.00
   35      30.00      16.00       0.00       0.00      30.00       0.00
   36      49.00      34.00       0.00     664.00     701.00       0.00
   37      28.00      19.00       0.00      60.00      87.00       0.00
   38      28.00      14.00       0.00       0.00      39.00       0.00
   39      49.00      16.00       0.00     410.00     454.00       0.00
   40       7.00      16.00       0.00     487.00     514.00       0.00
   41      30.00      39.00       0.00     102.00     151.00       0.00
   42      28.00      40.00       0.00     581.00     648.00       0.00
   43      10.00      42.00       0.00     224.00     264.00       0.00
   44      42.00      19.00       0.00     324.00     391.00       0.00
   45      34.00      10.00       0.00       1.00      44.00       0.00
   46       6.00      25.00       0.00     171.00     176.00       0.00
   47      25.00      22.00       0.00       0.00      31.00       0.00
   48      10.00      24.00       0.00     147.00     181.00       0.00
   49      28.00      28.00       0.00      62.00     134.00       0.00
   50      41.00       3.00       0.00     355.00     411.00       0.00
   51       4.00      31.00       0.00     491.00     564.00       0.00
   52      34.00      28.00       0.00      96.00     140.00       0.00
   53      37.00      33.00       0.00      99.00     115.00       0.00
   54      12.00      43.00       0.00     210.00     253.00       0.00
   55      18.00      25.00       0.00     127.00     179.00       0.00
   56      29.00      15.00       0.00      48.00      81.00       0.00
