!! n200w40.004    40.48 1161


CUST_NO. XCOORD. YCOORD. DEMAND	READY_TIME DUE_DATE	SERVICE_TIME


0	5.00	23.00	0.00	0.00	1183.00	0.00
1	21.00	10.00	0.00	47.00	63.00	0.00
2	21.00	4.00	0.00	494.00	541.00	0.00
3	31.00	45.00	0.00	657.00	716.00	0.00
4	9.00	47.00	0.00	614.00	651.00	0.00
5	3.00	16.00	0.00	0.00	18.00	0.00
6	39.00	35.00	0.00	674.00	748.00	0.00
7	39.00	11.00	0.00	64.00	128.00	0.00
8	43.00	50.00	0.00	931.00	984.00	0.00
9	4.00	50.00	0.00	773.00	842.00	0.00
10	45.00	14.00	0.00	308.00	356.00	0.00
11	22.00	8.00	0.00	12.00	69.00	0.00
12	20.00	42.00	0.00	790.00	835.00	0.00
13	28.00	49.00	0.00	753.00	758.00	0.00
14	35.00	38.00	0.00	221.00	244.00	0.00
15	34.00	28.00	0.00	675.00	725.00	0.00
16	2.00	44.00	0.00	788.00	808.00	0.00
17	48.00	35.00	0.00	716.00	721.00	0.00
18	47.00	43.00	0.00	228.00	253.00	0.00
19	17.00	32.00	0.00	544.00	605.00	0.00
20	35.00	3.00	0.00	371.00	406.00	0.00
21	32.00	40.00	0.00	187.00	222.00	0.00
22	31.00	19.00	0.00	362.00	433.00	0.00
23	20.00	5.00	0.00	41.00	68.00	0.00
24	11.00	6.00	0.00	19.00	62.00	0.00
25	12.00	26.00	0.00	424.00	434.00	0.00
26	42.00	22.00	0.00	114.00	141.00	0.00
27	42.00	42.00	0.00	231.00	246.00	0.00
28	43.00	45.00	0.00	218.00	275.00	0.00
29	44.00	49.00	0.00	717.00	745.00	0.00
30	4.00	31.00	0.00	446.00	489.00	0.00
31	40.00	40.00	0.00	224.00	259.00	0.00
32	14.00	17.00	0.00	466.00	520.00	0.00
33	24.00	15.00	0.00	398.00	442.00	0.00
34	39.00	0.00	0.00	332.00	373.00	0.00
35	10.00	21.00	0.00	1.00	30.00	0.00
36	38.00	19.00	0.00	122.00	161.00	0.00
37	26.00	35.00	0.00	183.00	231.00	0.00
38	14.00	47.00	0.00	650.00	657.00	0.00
39	34.00	9.00	0.00	331.00	356.00	0.00
40	43.00	40.00	0.00	217.00	263.00	0.00
