!! n60w40.001    36.13 669


 CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME

    0      41.00      43.00       0.00       0.00     685.00       0.00
    1       4.00       1.00       0.00     586.00     629.00       0.00
    2      32.00       8.00       0.00     148.00     159.00       0.00
    3      43.00      45.00       0.00       0.00      11.00       0.00
    4      42.00      17.00       0.00     118.00     156.00       0.00
    5       8.00      45.00       0.00     292.00     332.00       0.00
    6      25.00      32.00       0.00      49.00      80.00       0.00
    7      49.00      46.00       0.00       0.00      41.00       0.00
    8      34.00      18.00       0.00      77.00     108.00       0.00
    9      13.00      38.00       0.00     294.00     297.00       0.00
   10      45.00      12.00       0.00     436.00     455.00       0.00
   11      35.00      40.00       0.00      47.00      73.00       0.00
   12      46.00      16.00       0.00      88.00     159.00       0.00
   13      30.00       1.00       0.00     559.00     567.00       0.00
   14      29.00       7.00       0.00     116.00     184.00       0.00
   15      42.00      30.00       0.00      68.00     136.00       0.00
   16      20.00      16.00       0.00     163.00     180.00       0.00
   17      42.00      37.00       0.00       3.00      55.00       0.00
   18      41.00      43.00       0.00      26.00      41.00       0.00
   19      39.00      28.00       0.00      87.00     111.00       0.00
   20      19.00      33.00       0.00     259.00     313.00       0.00
   21      27.00      19.00       0.00      44.00      95.00       0.00
   22       9.00      22.00       0.00     516.00     536.00       0.00
   23      48.00       4.00       0.00     437.00     491.00       0.00
   24      34.00      27.00       0.00      75.00     109.00       0.00
   25      34.00       8.00       0.00     125.00     150.00       0.00
   26       3.00      43.00       0.00     340.00     382.00       0.00
   27      15.00       7.00       0.00     154.00     207.00       0.00
   28      31.00      15.00       0.00      56.00      92.00       0.00
   29      48.00      34.00       0.00       0.00      47.00       0.00
   30      50.00       1.00       0.00     443.00     480.00       0.00
   31      17.00      13.00       0.00     240.00     282.00       0.00
   32      43.00      47.00       0.00      11.00      59.00       0.00
   33      45.00      46.00       0.00       0.00      29.00       0.00
   34       1.00      40.00       0.00     314.00     358.00       0.00
   35      24.00      28.00       0.00     258.00     269.00       0.00
   36       9.00       1.00       0.00     212.00     233.00       0.00
   37       2.00      30.00       0.00     357.00     397.00       0.00
   38      39.00      41.00       0.00     398.00     447.00       0.00
   39      44.00      19.00       0.00     119.00     137.00       0.00
   40      46.00      48.00       0.00       0.00      18.00       0.00
   41      37.00       0.00       0.00     440.00     472.00       0.00
   42      30.00      16.00       0.00     138.00     195.00       0.00
   43      19.00      13.00       0.00     177.00     181.00       0.00
   44      32.00      38.00       0.00      26.00      81.00       0.00
   45       4.00       4.00       0.00     224.00     263.00       0.00
   46      18.00      29.00       0.00     234.00     283.00       0.00
   47      14.00      13.00       0.00     180.00     210.00       0.00
   48      15.00      47.00       0.00     289.00     336.00       0.00
   49      23.00      47.00       0.00     285.00     316.00       0.00
   50      11.00      29.00       0.00     255.00     291.00       0.00
   51      43.00      29.00       0.00     462.00     538.00       0.00
   52      26.00       3.00       0.00     119.00     161.00       0.00
   53      14.00      39.00       0.00     311.00     351.00       0.00
   54      19.00       9.00       0.00     181.00     213.00       0.00
   55      47.00      39.00       0.00       0.00      52.00       0.00
   56      37.00      22.00       0.00      72.00     110.00       0.00
   57      11.00       5.00       0.00     196.00     222.00       0.00
   58      26.00      27.00       0.00      41.00      94.00       0.00
   59      14.00       2.00       0.00     192.00     208.00       0.00
   60       4.00      20.00       0.00     580.00     603.00       0.00
   61       0.00       0.00       0.00       0.00     685.00       0.00
