!! n80w100.005   101.47 705


CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME



    0      20.00      22.00       0.00       0.00     765.00       0.00
    1       6.00      17.00       0.00      18.00     174.00       0.00
    2      40.00      30.00       0.00     339.00     460.00       0.00
    3      47.00      33.00       0.00     378.00     397.00       0.00
    4      39.00      41.00       0.00     279.00     370.00       0.00
    5      42.00      10.00       0.00     107.00     272.00       0.00
    6      25.00      31.00       0.00     177.00     316.00       0.00
    7      25.00      32.00       0.00     194.00     332.00       0.00
    8      40.00       7.00       0.00     111.00     205.00       0.00
    9      27.00      40.00       0.00     220.00     323.00       0.00
   10      12.00      44.00       0.00     465.00     548.00       0.00
   11      10.00       4.00       0.00      14.00      83.00       0.00
   12      24.00      29.00       0.00     212.00     306.00       0.00
   13      44.00      47.00       0.00     342.00     397.00       0.00
   14       5.00      19.00       0.00      72.00     136.00       0.00
   15      11.00      14.00       0.00       0.00      45.00       0.00
   16      29.00       9.00       0.00      41.00     196.00       0.00
   17      18.00      31.00       0.00     239.00     298.00       0.00
   18      39.00      20.00       0.00     153.00     224.00       0.00
   19       8.00       5.00       0.00      27.00      93.00       0.00
   20      27.00      17.00       0.00      66.00     153.00       0.00
   21      17.00      28.00       0.00     232.00     322.00       0.00
   22      29.00      49.00       0.00     245.00     366.00       0.00
   23      29.00      19.00       0.00      79.00     145.00       0.00
   24      28.00      28.00       0.00     208.00     332.00       0.00
   25      10.00       7.00       0.00       0.00      38.00       0.00
   26      16.00      45.00       0.00     471.00     615.00       0.00
   27      20.00      27.00       0.00     172.00     319.00       0.00
   28      15.00      28.00       0.00     346.00     455.00       0.00
   29       9.00      45.00       0.00     483.00     598.00       0.00
   30       0.00       1.00       0.00       0.00      48.00       0.00
   31      21.00      32.00       0.00     235.00     287.00       0.00
   32      30.00      40.00       0.00     244.00     361.00       0.00
   33       8.00       5.00       0.00       0.00     116.00       0.00
   34      25.00      47.00       0.00     224.00     386.00       0.00
   35      18.00      41.00       0.00     563.00     709.00       0.00
   36       3.00      20.00       0.00       0.00      94.00       0.00
   37      15.00      50.00       0.00     443.00     575.00       0.00
   38       3.00       7.00       0.00      55.00     127.00       0.00
   39       0.00       3.00       0.00      27.00     131.00       0.00
   40      21.00      16.00       0.00     384.00     457.00       0.00
   41      30.00       7.00       0.00     531.00     630.00       0.00
   42      29.00      17.00       0.00     199.00     320.00       0.00
   43      11.00      17.00       0.00       0.00     107.00       0.00
   44      47.00       5.00       0.00     174.00     238.00       0.00
   45      15.00      20.00       0.00       0.00      83.00       0.00
   46      49.00      19.00       0.00      74.00     185.00       0.00
   47      38.00      11.00       0.00     171.00     220.00       0.00
   48      25.00      37.00       0.00     199.00     282.00       0.00
   49       6.00       5.00       0.00       9.00     121.00       0.00
   50      13.00      22.00       0.00       0.00      14.00       0.00
   51      45.00      37.00       0.00     264.00     434.00       0.00
   52      38.00      12.00       0.00      95.00     233.00       0.00
   53      21.00      31.00       0.00     177.00     329.00       0.00
   54      24.00      27.00       0.00     174.00     296.00       0.00
   55      10.00      35.00       0.00     504.00     578.00       0.00
   56      49.00      14.00       0.00     622.00     735.00       0.00
   57      16.00      21.00       0.00       1.00      41.00       0.00
   58      32.00      28.00       0.00     342.00     488.00       0.00
   59      40.00      20.00       0.00     142.00     217.00       0.00
   60      47.00      16.00       0.00     158.00     220.00       0.00
   61      21.00      19.00       0.00     205.00     253.00       0.00
   62      24.00      28.00       0.00     216.00     326.00       0.00
   63      43.00      27.00       0.00     333.00     483.00       0.00
   64      26.00       9.00       0.00      83.00     212.00       0.00
   65      39.00      27.00       0.00     489.00     553.00       0.00
   66       1.00      20.00       0.00      71.00     155.00       0.00
   67      37.00      39.00       0.00     284.00     388.00       0.00
   68      16.00      46.00       0.00     461.00     550.00       0.00
   69      20.00       7.00       0.00      31.00     199.00       0.00
   70       6.00      46.00       0.00     389.00     493.00       0.00
   71       3.00      22.00       0.00     373.00     530.00       0.00
   72       5.00       2.00       0.00       0.00     101.00       0.00
   73      43.00      10.00       0.00     130.00     264.00       0.00
   74      41.00      16.00       0.00      86.00     240.00       0.00
   75      39.00      37.00       0.00     243.00     399.00       0.00
   76       4.00      11.00       0.00      92.00     199.00       0.00
   77      35.00      16.00       0.00      96.00     151.00       0.00
   78      30.00      50.00       0.00     211.00     385.00       0.00
   79      44.00      14.00       0.00     144.00     257.00       0.00
   80       3.00      10.00       0.00     583.00     621.00       0.00
   81       0.00       0.00       0.00       0.00     765.00       0.00

