!! n20w20.002    21.80 299


CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVIC_TIME


    0      42.00      27.00       0.00       0.00     318.00       0.00
    1      44.00      11.00       0.00       0.00      24.00       0.00
    2      20.00       4.00       0.00     196.00     226.00       0.00
    3      25.00      27.00       0.00     161.00     186.00       0.00
    4      17.00      15.00       0.00      25.00      53.00       0.00
    5      15.00      30.00       0.00      78.00      98.00       0.00
    6      11.00      27.00       0.00     185.00     206.00       0.00
    7      23.00      23.00       0.00      65.00      89.00       0.00
    8      14.00      15.00       0.00      55.00      76.00       0.00
    9      19.00      48.00       0.00     246.00     272.00       0.00
   10      20.00      48.00       0.00     140.00     162.00       0.00
   11      11.00      43.00       0.00      79.00      98.00       0.00
   12      22.00      39.00       0.00     156.00     181.00       0.00
   13      38.00      23.00       0.00     291.00     312.00       0.00
   14      30.00      12.00       0.00      25.00      31.00       0.00
   15      16.00      39.00       0.00      72.00     106.00       0.00
   16       3.00      39.00       0.00      91.00     114.00       0.00
   17      21.00      37.00       0.00     143.00     156.00       0.00
   18      21.00      11.00       0.00      31.00      56.00       0.00
   19       1.00      22.00       0.00     117.00     128.00       0.00
   20      27.00      36.00       0.00     236.00     254.00       0.00
   21       0.00       0.00       0.00       0.00     318.00       0.00
