!! n100w80.001    80.15 858


CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME


    0      36.00      36.00       0.00       0.00     887.00       0.00
    1      25.00      19.00       0.00     450.00     485.00       0.00
    2      42.00      29.00       0.00     590.00     648.00       0.00
    3      27.00       2.00       0.00     116.00     203.00       0.00
    4      43.00      20.00       0.00      50.00     131.00       0.00
    5      14.00       8.00       0.00     168.00     259.00       0.00
    6      30.00      48.00       0.00       0.00      70.00       0.00
    7      16.00      28.00       0.00     301.00     371.00       0.00
    8      22.00      39.00       0.00     446.00     535.00       0.00
    9      11.00       4.00       0.00     154.00     244.00       0.00
   10      45.00       8.00       0.00     273.00     419.00       0.00
   11      31.00      42.00       0.00       0.00      85.00       0.00
   12       4.00      46.00       0.00     534.00     625.00       0.00
   13      15.00      37.00       0.00     520.00     608.00       0.00
   14      41.00       1.00       0.00     308.00     440.00       0.00
   15      32.00      16.00       0.00     313.00     352.00       0.00
   16      48.00      30.00       0.00      19.00     100.00       0.00
   17      45.00      44.00       0.00      18.00     107.00       0.00
   18      48.00      11.00       0.00     311.00     426.00       0.00
   19       5.00       3.00       0.00     186.00     201.00       0.00
   20       4.00      28.00       0.00     229.00     250.00       0.00
   21      19.00       1.00       0.00     376.00     465.00       0.00
   22       8.00      45.00       0.00     527.00     642.00       0.00
   23      47.00      14.00       0.00     316.00     357.00       0.00
   24      28.00      36.00       0.00     457.00     523.00       0.00
   25      33.00      11.00       0.00      85.00     135.00       0.00
   26       6.00      41.00       0.00     517.00     570.00       0.00
   27      41.00      27.00       0.00      52.00     145.00       0.00
   28      34.00       7.00       0.00     263.00     356.00       0.00
   29      36.00      22.00       0.00      70.00     121.00       0.00
   30      49.00      45.00       0.00     603.00     688.00       0.00
   31      19.00       7.00       0.00      96.00     205.00       0.00
   32      41.00       5.00       0.00     288.00     424.00       0.00
   33      43.00       6.00       0.00     280.00     352.00       0.00
   34      35.00      50.00       0.00      25.00     110.00       0.00
   35      33.00      49.00       0.00       0.00      71.00       0.00
   36      19.00      32.00       0.00     213.00     329.00       0.00
   37      43.00      10.00       0.00     301.00     402.00       0.00
   38      16.00       7.00       0.00     161.00     269.00       0.00
   39       4.00      35.00       0.00     502.00     633.00       0.00
   40      21.00      27.00       0.00     534.00     606.00       0.00
   41       5.00      26.00       0.00     206.00     321.00       0.00
   42       8.00      11.00       0.00     195.00     262.00       0.00
   43      24.00      18.00       0.00     272.00     372.00       0.00
   44      15.00      27.00       0.00     215.00     302.00       0.00
   45      22.00      29.00       0.00     275.00     350.00       0.00
   46      38.00      41.00       0.00       0.00      11.00       0.00
   47      50.00      12.00       0.00     305.00     415.00       0.00
   48       6.00       3.00       0.00     170.00     255.00       0.00
   49       4.00      34.00       0.00     180.00     279.00       0.00
   50      46.00      36.00       0.00      39.00     127.00       0.00
   51      42.00      16.00       0.00     636.00     717.00       0.00
   52       3.00      10.00       0.00     435.00     469.00       0.00
   53       8.00      19.00       0.00     252.00     274.00       0.00
   54      17.00      29.00       0.00     255.00     294.00       0.00
   55      43.00      42.00       0.00      23.00      48.00       0.00
   56      29.00       9.00       0.00      66.00     174.00       0.00
