!! n20w100.001    96.50 363


 CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME

    0      13.00      43.00       0.00       0.00     405.00       0.00
    1      35.00      27.00       0.00       0.00     133.00       0.00
    2      21.00      34.00       0.00       0.00     117.00       0.00
    3      20.00       9.00       0.00     156.00     260.00       0.00
    4      35.00      31.00       0.00       0.00     158.00       0.00
    5      38.00      23.00       0.00       0.00      90.00       0.00
    6      28.00      20.00       0.00      69.00     153.00       0.00
    7       6.00       1.00       0.00     221.00     280.00       0.00
    8      31.00      29.00       0.00       0.00      83.00       0.00
    9      11.00      40.00       0.00       0.00      33.00       0.00
   10       9.00      28.00       0.00      14.00     124.00       0.00
   11      19.00      35.00       0.00       0.00      25.00       0.00
   12      37.00      14.00       0.00     198.00     330.00       0.00
   13       6.00       5.00       0.00     116.00     185.00       0.00
   14       2.00      37.00       0.00      81.00     182.00       0.00
   15      30.00      50.00       0.00      44.00     126.00       0.00
   16      31.00      37.00       0.00      31.00     156.00       0.00
   17      24.00       2.00       0.00     134.00     271.00       0.00
   18       8.00      22.00       0.00     147.00     213.00       0.00
   19      38.00      31.00       0.00     243.00     377.00       0.00
   20      48.00      24.00       0.00     270.00     358.00       0.00
   21       0.00       0.00       0.00       0.00     405.00       0.00
