!! n40w80.005    91.40 536


CUST_NO.   XCOORD.   YCOORD.    DEMAND   READY_TIME   DUE_DATE   SERVICE_TIME

    0      41.00       5.00       0.00       0.00     577.00       0.00
    1      16.00      30.00       0.00     149.00     210.00       0.00
    2      19.00      42.00       0.00      66.00     152.00       0.00
    3      11.00      38.00       0.00      96.00     195.00       0.00
    4      11.00      41.00       0.00     122.00     199.00       0.00
    5       5.00      41.00       0.00     315.00     424.00       0.00
    6      46.00      25.00       0.00      17.00      92.00       0.00
    7      22.00      40.00       0.00      83.00     169.00       0.00
    8      37.00      25.00       0.00      18.00     118.00       0.00
    9      16.00      11.00       0.00       0.00      93.00       0.00
   10      10.00      19.00       0.00     261.00     364.00       0.00
   11       1.00      47.00       0.00     293.00     441.00       0.00
   12      21.00      47.00       0.00     127.00     249.00       0.00
   13       2.00       4.00       0.00     261.00     334.00       0.00
   14      45.00      28.00       0.00       2.00     112.00       0.00
   15      15.00       3.00       0.00     246.00     335.00       0.00
   16      21.00      15.00       0.00       6.00      90.00       0.00
   17      15.00       1.00       0.00     226.00     284.00       0.00
   18      17.00      42.00       0.00      92.00     167.00       0.00
   19       5.00       4.00       0.00     184.00     321.00       0.00
   20      19.00      17.00       0.00     172.00     220.00       0.00
   21       6.00      41.00       0.00     150.00     237.00       0.00
   22      47.00      29.00       0.00      50.00     130.00       0.00
   23      17.00      35.00       0.00     164.00     218.00       0.00
   24       1.00      34.00       0.00     290.00     357.00       0.00
   25      49.00      38.00       0.00      21.00     102.00       0.00
   26       4.00      14.00       0.00     195.00     345.00       0.00
   27      16.00      42.00       0.00      95.00     198.00       0.00
   28      17.00      46.00       0.00      68.00     223.00       0.00
   29      31.00      12.00       0.00       0.00      55.00       0.00
   30      24.00       9.00       0.00       0.00      92.00       0.00
   31       1.00      48.00       0.00     401.00     519.00       0.00
   32      47.00      28.00       0.00      50.00      98.00       0.00
   33       5.00       1.00       0.00     242.00     327.00       0.00
   34      35.00      28.00       0.00      29.00     107.00       0.00
   35       4.00      22.00       0.00     251.00     359.00       0.00
   36      47.00      43.00       0.00     397.00     487.00       0.00
   37      25.00      17.00       0.00       0.00     105.00       0.00
   38      13.00       7.00       0.00     148.00     252.00       0.00
   39       1.00      26.00       0.00     337.00     350.00       0.00
   40       6.00      27.00       0.00     383.00     533.00       0.00
   41       0.00       0.00       0.00       0.00     577.00       0.00
