!! n200w40.005    40.55 1175


CUST_NO. XCOORD. YCOORD. DEMAND	READY_TIME DUE_DATE	SERVICE_TIME



0	3.00	38.00	0.00	0.00	1187.00	0.00
1	44.00	28.00	0.00	342.00	365.00	0.00
2	26.00	44.00	0.00	20.00	93.00	0.00
3	7.00	41.00	0.00	0.00	45.00	0.00
4	17.00	28.00	0.00	250.00	292.00	0.00
5	1.00	17.00	0.00	199.00	246.00	0.00
6	23.00	24.00	0.00	661.00	722.00	0.00
7	39.00	18.00	0.00	327.00	343.00	0.00
8	2.00	40.00	0.00	0.00	6.00	0.00
9	0.00	21.00	0.00	181.00	226.00	0.00
10	36.00	13.00	0.00	316.00	340.00	0.00
11	46.00	19.00	0.00	321.00	358.00	0.00
12	27.00	16.00	0.00	307.00	360.00	0.00
13	48.00	16.00	0.00	505.00	561.00	0.00
14	41.00	30.00	0.00	375.00	399.00	0.00
15	20.00	5.00	0.00	113.00	171.00	0.00
16	5.00	27.00	0.00	733.00	799.00	0.00
17	4.00	35.00	0.00	726.00	759.00	0.00
18	4.00	2.00	0.00	158.00	203.00	0.00
19	43.00	18.00	0.00	334.00	370.00	0.00
20	36.00	30.00	0.00	349.00	419.00	0.00
21	34.00	7.00	0.00	643.00	671.00	0.00
22	35.00	43.00	0.00	394.00	421.00	0.00
23	17.00	23.00	0.00	245.00	271.00	0.00
24	9.00	11.00	0.00	136.00	196.00	0.00
25	20.00	45.00	0.00	43.00	50.00	0.00
26	1.00	12.00	0.00	189.00	226.00	0.00
27	20.00	43.00	0.00	52.00	83.00	0.00
28	31.00	23.00	0.00	263.00	325.00	0.00
29	4.00	29.00	0.00	744.00	795.00	0.00
30	13.00	30.00	0.00	66.00	104.00	0.00
31	25.00	38.00	0.00	403.00	464.00	0.00
32	19.00	22.00	0.00	252.00	273.00	0.00
33	42.00	31.00	0.00	363.00	396.00	0.00
34	27.00	33.00	0.00	703.00	708.00	0.00
35	41.00	23.00	0.00	810.00	854.00	0.00
36	16.00	39.00	0.00	47.00	99.00	0.00
37	24.00	30.00	0.00	256.00	294.00	0.00
38	18.00	19.00	0.00	87.00	121.00	0.00
